MatchDate,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Match_Result
2023-10-08,West Indies,Australia,"Allan Border Field, Brisbane",Australia,field,Australia
2011-04-09,Bangladesh,Australia,Shere Bangla National Stadium,Bangladesh,field,Australia
2008-02-09,New Zealand,England,Westpac Stadium,England,bat,New Zealand
2022-03-30,Australia,West Indies,"Basin Reserve, Wellington",West Indies,field,Australia
2023-04-04,United States of America,Jersey,"United Cricket Club Ground, Windhoek",Jersey,field,United States of America
2018-12-14,Bangladesh,West Indies,Sylhet International Cricket Stadium,Bangladesh,field,Bangladesh
2016-02-06,New Zealand,Australia,Westpac Stadium,New Zealand,bat,Australia
2019-03-05,India,Australia,"Vidarbha Cricket Association Stadium, Jamtha",Australia,field,India
2006-02-16,Pakistan,India,Multan Cricket Stadium,India,field,India
2007-10-29,Pakistan,South Africa,Gaddafi Stadium,South Africa,bat,South Africa
2022-10-09,South Africa,India,"JSCA International Stadium Complex, Ranchi",South Africa,bat,India
2022-12-14,Bangladesh,New Zealand,"McLean Park, Napier",Bangladesh,bat,No Result
2013-02-06,Australia,West Indies,Manuka Oval,Australia,bat,Australia
2011-03-08,New Zealand,Pakistan,Pallekele International Cricket Stadium,New Zealand,bat,New Zealand
2009-11-22,South Africa,England,SuperSport Park,England,field,England
2014-11-21,Australia,South Africa,Melbourne Cricket Ground,South Africa,bat,Australia
2022-03-23,South Africa,Bangladesh,"SuperSport Park, Centurion",South Africa,bat,Bangladesh
2021-09-04,South Africa,Sri Lanka,"R Premadasa Stadium, Colombo",South Africa,bat,South Africa
2012-02-15,England,Pakistan,Sheikh Zayed Stadium,England,bat,England
2011-03-09,India,Netherlands,Feroz Shah Kotla,Netherlands,bat,India
2004-09-11,India,Kenya,The Rose Bowl,Kenya,field,India
2023-10-13,Bangladesh,New Zealand,"MA Chidambaram Stadium, Chepauk, Chennai",New Zealand,field,New Zealand
2016-10-19,South Africa,New Zealand,Boland Park,New Zealand,bat,New Zealand
2015-07-23,England,Australia,County Ground,England,field,Australia
2003-11-29,West Indies,Zimbabwe,Harare Sports Club,Zimbabwe,field,West Indies
2011-02-20,Sri Lanka,Canada,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,bat,Sri Lanka
2015-01-15,New Zealand,Sri Lanka,Seddon Park,New Zealand,bat,Sri Lanka
2015-08-07,Zimbabwe,New Zealand,Harare Sports Club,Zimbabwe,field,New Zealand
2012-08-04,Sri Lanka,India,Pallekele International Cricket Stadium,India,bat,India
2009-04-05,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
2019-09-30,Pakistan,Sri Lanka,National Stadium,Pakistan,bat,Pakistan
2009-04-27,Australia,Pakistan,Sheikh Zayed Stadium,Australia,bat,Australia
2022-07-14,Namibia,Scotland,"Titwood, Glasgow",Scotland,field,Scotland
2007-04-28,Australia,Sri Lanka,"Kensington Oval, Bridgetown",Australia,bat,Australia
2013-08-23,England,Australia,County Ground,England,bat,England
2004-04-24,West Indies,England,Queen's Park Oval,West Indies,bat,No Result
2007-02-08,India,Sri Lanka,Eden Gardens,India,field,No Result
2017-06-23,West Indies,India,"Queen's Park Oval, Port of Spain",West Indies,field,No Result
2011-04-11,Bangladesh,Australia,Shere Bangla National Stadium,Bangladesh,bat,Australia
2005-02-09,South Africa,England,Buffalo Park,South Africa,bat,South Africa
2022-08-19,New Zealand,West Indies,"Kensington Oval, Bridgetown, Barbados",West Indies,field,New Zealand
2004-08-21,Pakistan,India,VRA Cricket Ground,India,field,Pakistan
2015-10-09,Zimbabwe,Ireland,Harare Sports Club,Zimbabwe,field,Zimbabwe
2017-12-10,India,Sri Lanka,Himachal Pradesh Cricket Association Stadium,Sri Lanka,field,Sri Lanka
2022-06-16,Sri Lanka,Australia,Pallekele International Cricket Stadium,Australia,field,Sri Lanka
2019-03-03,South Africa,Sri Lanka,The Wanderers Stadium,South Africa,field,South Africa
2017-02-08,Bangladesh,Pakistan,P Sara Oval,Pakistan,bat,Pakistan
2003-01-17,England,Sri Lanka,Adelaide Oval,England,bat,England
2005-06-26,Bangladesh,England,Headingley,Bangladesh,bat,England
2021-11-08,West Indies,Pakistan,"National Stadium, Karachi",Pakistan,field,West Indies
2006-10-20,New Zealand,Sri Lanka,Brabourne Stadium,New Zealand,bat,Sri Lanka
2013-07-31,Sri Lanka,South Africa,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka
2003-03-14,New Zealand,India,"SuperSport Park, Centurion",India,field,India
2007-07-07,England,West Indies,Trent Bridge,West Indies,bat,West Indies
2017-10-15,Bangladesh,South Africa,Diamond Oval,Bangladesh,bat,South Africa
2024-10-24,India,New Zealand,"Narendra Modi Stadium, Ahmedabad",India,bat,India
2007-03-21,Pakistan,Zimbabwe,"Sabina Park, Kingston",Zimbabwe,field,Pakistan
2023-06-23,Oman,Sri Lanka,"Queens Sports Club, Bulawayo",Sri Lanka,field,Sri Lanka
2024-11-04,Nepal,Scotland,"Grand Prairie Stadium, Dallas",Scotland,field,No Result
2007-12-02,South Africa,New Zealand,Newlands,New Zealand,bat,South Africa
2024-10-29,New Zealand,India,"Narendra Modi Stadium, Ahmedabad",New Zealand,bat,India
2019-07-31,Sri Lanka,Bangladesh,"R.Premadasa Stadium, Khettarama",Sri Lanka,bat,Sri Lanka
2007-10-08,India,Australia,Sector 16 Stadium,India,bat,India
2007-01-12,Australia,England,Melbourne Cricket Ground,England,bat,Australia
2017-04-01,Sri Lanka,Bangladesh,Sinhalese Sports Club Ground,Bangladesh,field,Sri Lanka
2023-09-10,India,Pakistan,"R Premadasa Stadium, Colombo",Pakistan,field,India
2011-01-15,South Africa,India,New Wanderers Stadium,India,bat,India
2016-10-09,Bangladesh,England,Shere Bangla National Stadium,England,field,Bangladesh
2021-09-26,Oman,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Papua New Guinea,field,Oman
2024-08-18,Ireland,Sri Lanka,"Civil Service Cricket Club, Stormont, Belfast",Sri Lanka,field,Ireland
2005-11-09,Sri Lanka,India,Madhavrao Scindia Cricket Ground,India,field,India
2023-10-20,Australia,Pakistan,"M Chinnaswamy Stadium, Bengaluru",Pakistan,field,Australia
2019-01-28,United Arab Emirates,Nepal,ICC Academy,Nepal,field,Nepal
2020-02-29,South Africa,Australia,Boland Park,South Africa,bat,South Africa
2009-08-19,Canada,Kenya,Maple Leaf North-West Ground,Canada,field,Canada
2011-09-09,England,India,Kennington Oval,England,field,England
2011-01-18,South Africa,India,Newlands,South Africa,bat,India
2005-02-27,South Africa,Zimbabwe,Kingsmead,Zimbabwe,field,South Africa
2006-10-15,India,England,Sawai Mansingh Stadium,India,field,India
2010-09-22,England,Pakistan,The Rose Bowl,England,bat,England
2020-10-07,Australia,New Zealand,Allan Border Field,New Zealand,field,Australia
2009-09-30,India,West Indies,New Wanderers Stadium,India,field,India
2016-09-27,Australia,Ireland,Willowmoore Park,Ireland,bat,Australia
2022-06-09,Oman,Nepal,"Moosa Cricket Stadium, Pearland",Oman,bat,Oman
2008-07-31,Ireland,Scotland,Clontarf Cricket Club Ground,Ireland,field,Ireland
2024-06-18,West Indies,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",West Indies,bat,Sri Lanka
2023-02-15,Namibia,Scotland,"Tribhuvan University International Cricket Ground, Kirtipur",Scotland,field,Scotland
2016-08-31,Sri Lanka,Australia,Rangiri Dambulla International Stadium,Sri Lanka,bat,Australia
2024-09-21,Australia,England,"Headingley, Leeds",England,field,Australia
2009-04-03,West Indies,England,"Beausejour Stadium, Gros Islet",West Indies,field,England
2024-10-20,West Indies,Sri Lanka,Pallekele International Cricket Stadium,West Indies,bat,Sri Lanka
2003-02-16,South Africa,New Zealand,"New Wanderers Stadium, Johannesburg",South Africa,bat,New Zealand
2014-06-03,England,Sri Lanka,Edgbaston,England,bat,Sri Lanka
2013-02-26,Sri Lanka,West Indies,Rangiri Dambulla International Stadium,Sri Lanka,field,West Indies
2015-06-24,Bangladesh,India,Shere Bangla National Stadium,Bangladesh,field,India
2003-02-18,West Indies,Bangladesh,"Willowmoore Park, Benoni",Bangladesh,field,No Result
2022-12-02,Nepal,Namibia,"United Cricket Club Ground, Windhoek",Namibia,field,No Result
2015-07-26,Sri Lanka,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,bat,Sri Lanka
2012-02-18,Kenya,Ireland,Mombasa Sports Club Ground,Ireland,bat,Kenya
2004-09-17,England,Sri Lanka,The Rose Bowl,Sri Lanka,field,England
2013-02-17,Australia,West Indies,Brabourne Stadium,Australia,bat,Australia
2004-01-25,South Africa,West Indies,Newlands,South Africa,bat,South Africa
2016-10-17,South Africa,New Zealand,Boland Park,New Zealand,field,New Zealand
2009-02-03,Sri Lanka,India,R Premadasa Stadium,India,bat,India
2024-02-28,United Arab Emirates,Canada,Dubai International Cricket Stadium,Canada,field,Canada
2019-12-12,England,Pakistan,Kinrara Academy Oval,England,bat,England
2008-07-29,Netherlands,Scotland,Clontarf Cricket Club Ground,Netherlands,bat,Scotland
2003-11-12,Bangladesh,England,"Bangabandhu National Stadium, Dhaka",Bangladesh,bat,England
2021-11-15,Zimbabwe,Bangladesh,"Queens Sports Club, Bulawayo",Zimbabwe,bat,Bangladesh
2008-01-30,Pakistan,Zimbabwe,Iqbal Stadium,Zimbabwe,bat,Pakistan
2008-08-25,Ireland,Kenya,"Civil Service Cricket Club, Stormont",Kenya,field,No Result
2015-02-17,New Zealand,Scotland,University Oval,New Zealand,field,New Zealand
2010-06-22,England,Australia,The Rose Bowl,Australia,bat,England
2018-08-08,Sri Lanka,South Africa,Pallekele International Cricket Stadium,South Africa,field,Sri Lanka
2021-09-29,Papua New Guinea,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,bat,Scotland
2007-02-17,India,Sri Lanka,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,India,field,India
2015-11-09,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Zimbabwe,field,Bangladesh
2015-03-10,India,Ireland,Seddon Park,Ireland,bat,India
2016-11-20,Australia,South Africa,Manuka Oval,Australia,bat,Australia
2016-10-29,India,New Zealand,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,bat,India
2024-11-30,Ireland,Bangladesh,"Shere Bangla National Stadium, Mirpur",Ireland,bat,Bangladesh
2015-01-17,New Zealand,Sri Lanka,Eden Park,Sri Lanka,field,No Result
2018-03-18,Ireland,Scotland,Harare Sports Club,Scotland,field,Ireland
2008-03-14,Bangladesh,South Africa,Shere Bangla National Stadium,Bangladesh,bat,South Africa
2003-01-21,Sri Lanka,Australia,Melbourne Cricket Ground,Sri Lanka,bat,Australia
2011-02-01,New Zealand,Pakistan,McLean Park,New Zealand,bat,Pakistan
2019-01-30,South Africa,Pakistan,Newlands,South Africa,field,South Africa
2019-12-08,United Arab Emirates,United States of America,Sharjah Cricket Stadium,United Arab Emirates,bat,United States of America
2018-09-16,India,Sri Lanka,Chilaw Marians Cricket Club Ground,Sri Lanka,field,Sri Lanka
2009-11-03,New Zealand,Pakistan,Sheikh Zayed Stadium,Pakistan,bat,Pakistan
2012-07-10,England,Australia,Old Trafford,England,field,England
2003-05-23,Pakistan,New Zealand,Rangiri Dambulla International Stadium,Pakistan,bat,New Zealand
2024-10-20,United States of America,Zimbabwe,Harare Sports Club,Zimbabwe,field,Zimbabwe
2003-03-20,India,Kenya,"Kingsmead, Durban",India,bat,India
2005-10-28,South Africa,New Zealand,Newlands,South Africa,bat,South Africa
2017-07-12,South Africa,Sri Lanka,County Ground,Sri Lanka,bat,South Africa
2022-03-14,Oman,Namibia,Dubai International Cricket Stadium,Oman,bat,Namibia
2004-02-20,Australia,Sri Lanka,Rangiri Dambulla International Stadium,Australia,bat,Australia
2015-02-20,New Zealand,England,Westpac Stadium,England,bat,New Zealand
2023-04-27,New Zealand,Pakistan,Rawalpindi Cricket Stadium,Pakistan,field,Pakistan
2023-09-06,Bangladesh,Pakistan,"Gaddafi Stadium, Lahore",Bangladesh,bat,Pakistan
2005-12-31,Sri Lanka,New Zealand,John Davies Oval,New Zealand,field,New Zealand
2023-12-20,Bangladesh,South Africa,"Senwes Park, Potchefstroom",South Africa,field,South Africa
2014-01-23,Australia,England,Melbourne Cricket Ground,Australia,bat,Australia
2017-07-06,West Indies,India,"Sabina Park, Kingston",West Indies,bat,India
2006-09-20,South Africa,Zimbabwe,Sedgars Park,South Africa,bat,South Africa
2024-11-04,Pakistan,Australia,Melbourne Cricket Ground,Australia,field,Australia
2019-10-07,Australia,Sri Lanka,Allan Border Field,Australia,bat,Australia
2024-12-19,Pakistan,South Africa,"Newlands, Cape Town",South Africa,field,Pakistan
2022-11-14,United Arab Emirates,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,United Arab Emirates
2013-10-30,India,Australia,"Vidarbha Cricket Association Stadium, Jamtha",India,field,India
2018-11-04,Australia,South Africa,Perth Stadium,South Africa,field,South Africa
2009-08-03,Sri Lanka,Pakistan,Rangiri Dambulla International Stadium,Sri Lanka,field,Sri Lanka
2024-08-12,Scotland,Netherlands,"VRA Ground, Amstelveen",Scotland,bat,Scotland
2023-04-19,Thailand,Zimbabwe,"Terdthai Cricket Ground, Bangkok",Thailand,bat,Thailand
2017-01-24,United Arab Emirates,Scotland,Dubai International Cricket Stadium,Scotland,bat,United Arab Emirates
2006-11-29,South Africa,India,St George's Park,South Africa,bat,South Africa
2018-01-19,Bangladesh,Sri Lanka,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh
2008-02-29,Australia,Sri Lanka,Melbourne Cricket Ground,Sri Lanka,bat,Sri Lanka
2008-11-14,Pakistan,West Indies,Sheikh Zayed Stadium,Pakistan,bat,Pakistan
2006-10-24,South Africa,Sri Lanka,"Sardar Patel Stadium, Motera",Sri Lanka,field,South Africa
2012-12-02,Bangladesh,West Indies,Sheikh Abu Naser Stadium,West Indies,field,Bangladesh
2010-03-12,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",West Indies,field,West Indies
2013-01-19,South Africa,New Zealand,Boland Park,New Zealand,field,New Zealand
2010-03-06,West Indies,Zimbabwe,Providence Stadium,Zimbabwe,bat,West Indies
2021-11-27,Pakistan,Zimbabwe,"Sunrise Sports Club, Harare",Zimbabwe,field,Pakistan
2012-02-19,Australia,India,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,Australia
2007-03-20,Scotland,South Africa,"Warner Park, Basseterre",South Africa,field,South Africa
2011-03-17,England,West Indies,"MA Chidambaram Stadium, Chepauk",England,bat,England
2005-02-13,England,South Africa,SuperSport Park,South Africa,field,South Africa
2014-11-29,Sri Lanka,England,R Premadasa Stadium,England,bat,Sri Lanka
2010-03-05,Bangladesh,England,Zohur Ahmed Chowdhury Stadium,Bangladesh,field,England
2022-03-18,United Arab Emirates,Nepal,Dubai International Cricket Stadium,United Arab Emirates,bat,United Arab Emirates
2002-12-29,New Zealand,India,"McLean Park, Napier",India,field,New Zealand
2019-05-07,Bangladesh,West Indies,Castle Avenue,West Indies,bat,Bangladesh
2022-06-05,Sri Lanka,Pakistan,"Southend Club Cricket Stadium, Karachi",Sri Lanka,bat,Sri Lanka
2016-10-02,Pakistan,West Indies,Sharjah Cricket Stadium,Pakistan,bat,Pakistan
2021-09-19,Oman,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,field,Nepal
2008-12-31,New Zealand,West Indies,Queenstown Events Centre,New Zealand,field,No Result
2023-10-01,South Africa,New Zealand,"Kingsmead, Durban",New Zealand,field,New Zealand
2012-03-11,Bangladesh,Pakistan,Shere Bangla National Stadium,Bangladesh,field,Pakistan
2021-04-07,Pakistan,South Africa,"SuperSport Park, Centurion",South Africa,field,Pakistan
2010-08-10,India,New Zealand,Rangiri Dambulla International Stadium,New Zealand,bat,New Zealand
2007-03-15,Ireland,Zimbabwe,"Sabina Park, Kingston",Zimbabwe,field,No Result
2023-04-05,United Arab Emirates,Jersey,"Wanderers Cricket Ground, Windhoek",United Arab Emirates,bat,United Arab Emirates
2023-03-19,India,Australia,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Australia,field,Australia
2010-06-19,India,Pakistan,Rangiri Dambulla International Stadium,Pakistan,bat,India
2007-02-04,Australia,New Zealand,Melbourne Cricket Ground,New Zealand,bat,Australia
2015-03-26,Australia,India,Sydney Cricket Ground,Australia,bat,Australia
2017-06-15,Bangladesh,India,Edgbaston,India,field,India
2018-11-09,New Zealand,Pakistan,Sheikh Zayed Stadium,New Zealand,bat,Pakistan
2015-01-21,South Africa,West Indies,Buffalo Park,West Indies,bat,South Africa
2004-09-04,Australia,Pakistan,Lord's,Pakistan,field,Australia
2021-10-02,Scotland,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,bat,No Result
2021-11-14,Pakistan,West Indies,"National Stadium, Karachi",West Indies,field,West Indies
2023-01-24,India,New Zealand,"Holkar Cricket Stadium, Indore",New Zealand,field,India
2024-04-09,South Africa,Sri Lanka,"Buffalo Park, East London",Sri Lanka,field,No Result
2004-03-16,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,Pakistan
2013-10-13,India,Australia,Maharashtra Cricket Association Stadium,Australia,bat,Australia
2008-02-15,Australia,Sri Lanka,Western Australia Cricket Association Ground,Australia,bat,Australia
2006-10-26,India,West Indies,"Sardar Patel Stadium, Motera",West Indies,field,West Indies
2021-10-07,Ireland,Zimbabwe,Harare Sports Club,Zimbabwe,field,Ireland
2022-12-08,Nepal,Scotland,"United Cricket Club Ground, Windhoek",Nepal,bat,Scotland
2006-03-17,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,field,No Result
2022-03-06,India,Pakistan,"Bay Oval, Mount Maunganui",India,bat,India
2021-05-28,Sri Lanka,Bangladesh,"Shere Bangla National Stadium, Mirpur",Sri Lanka,bat,Sri Lanka
2024-10-07,Ireland,South Africa,"Zayed Cricket Stadium, Abu Dhabi",Ireland,bat,Ireland
2003-01-19,England,Australia,Adelaide Oval,England,bat,Australia
2021-03-28,India,England,Maharashtra Cricket Association Stadium,England,field,India
2003-11-10,Bangladesh,England,"Bangabandhu National Stadium, Dhaka",Bangladesh,bat,England
2014-09-05,England,India,Headingley,India,field,England
2006-04-15,India,England,Maharani Usharaje Trust Cricket Ground,India,field,India
2006-06-20,England,Sri Lanka,Kennington Oval,Sri Lanka,bat,Sri Lanka
2022-07-10,West Indies,Bangladesh,"Providence Stadium, Guyana",Bangladesh,field,Bangladesh
2017-08-20,Sri Lanka,India,Rangiri Dambulla International Stadium,India,field,India
2019-01-05,New Zealand,Sri Lanka,Bay Oval,New Zealand,bat,New Zealand
2018-07-17,India,England,Headingley,England,field,England
2008-08-30,Australia,Bangladesh,Marrara Cricket Ground,Bangladesh,field,Australia
2023-06-29,Zimbabwe,Oman,"Queens Sports Club, Bulawayo",Oman,field,Zimbabwe
2015-10-03,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,field,Zimbabwe
2021-09-23,New Zealand,England,"County Ground, Derby",England,field,England
2010-07-03,England,Australia,Lord's,Australia,bat,Australia
2003-01-14,India,New Zealand,"Westpac Park, Hamilton",New Zealand,field,New Zealand
